Service,Feature,Status
AWS AppSync,Rate of request tokens,Available in both
Amazon Athena,Active DML queries,Available in both
Amazon Athena,Active DDL queries,Available in both
Amazon Athena,Apache Spark DPU concurrency,"Available in source, Not Available in target"
Amazon Athena,DDL query timeout,Available in both
Amazon Athena,DML query timeout,Available in both
AWS Audit Manager,Custom controls,"Available in source, Not Available in target"
AWS Audit Manager,Custom frameworks,"Available in source, Not Available in target"
AWS Audit Manager,Running assessments,"Available in source, Not Available in target"
Amazon EC2 Auto Scaling,Launch configurations per region,Available in both
Amazon EC2 Auto Scaling,Auto Scaling groups per region,Available in both
AWS Auto Scaling Plans,Scaling plans,"Available in source, Not Available in target"
AWS Batch,Submitted state jobs limit,Available in both
AWS Batch,Transactions per second for SubmitJob limit,Available in both
AWS Batch,Compute environment limit,Available in both
AWS Batch,Share identifiers per job queue limit.,Available in both
AWS Batch,Job definition size limit,Available in both
AWS Batch,Compute environments per job queue limit.,Available in both
AWS Batch,Job queue limit,Available in both
AWS Batch,Job dependencies limit,Available in both
AWS Batch,Job payload size limit,Available in both
AWS Batch,Maximum array size limit,Available in both
Amazon Keyspaces (for Apache Cassandra),Keyspaces per region,"Available in source, Not Available in target"
Amazon Keyspaces (for Apache Cassandra),Max concurrent table restores using Point-in-time Recovery (PITR),"Available in source, Not Available in target"
Amazon Keyspaces (for Apache Cassandra),Max row size,"Available in source, Not Available in target"
Amazon Keyspaces (for Apache Cassandra),Max Schema size,"Available in source, Not Available in target"
Amazon Keyspaces (for Apache Cassandra),Account-level read throughput quota (Provisioned mode),"Available in source, Not Available in target"
Amazon Keyspaces (for Apache Cassandra),Max amount of data restored using Point-in-time Recovery (PITR),"Available in source, Not Available in target"
Amazon Keyspaces (for Apache Cassandra),Max clustering key size,"Available in source, Not Available in target"
Amazon Keyspaces (for Apache Cassandra),Max static data per logical partition,"Available in source, Not Available in target"
Amazon Keyspaces (for Apache Cassandra),Table-level write throughput quota,"Available in source, Not Available in target"
Amazon Keyspaces (for Apache Cassandra),Max partition key size,"Available in source, Not Available in target"
Amazon Keyspaces (for Apache Cassandra),Account-level write throughput quota (Provisioned mode),"Available in source, Not Available in target"
Amazon Keyspaces (for Apache Cassandra),Tables per region,"Available in source, Not Available in target"
Amazon Keyspaces (for Apache Cassandra),Max subqueries per IN SELECT statement,"Available in source, Not Available in target"
Amazon Keyspaces (for Apache Cassandra),Concurrent DDL operations,"Available in source, Not Available in target"
Amazon Keyspaces (for Apache Cassandra),Table-level read throughput quota,"Available in source, Not Available in target"
Amazon Chime,Amazon Chime SDK meetings - ListAttendees API burst rate in requests per second,"Available in source, Not Available in target"
Amazon Chime,Amazon Chime SDK meetings - All meeting management API burst rate in requests per second,"Available in source, Not Available in target"
Amazon Chime,Amazon Chime SDK meetings - DeleteMeeting API burst rate in requests per second,"Available in source, Not Available in target"
Amazon Chime,Amazon Chime SDK meetings - TagResource API rate in requests per second,"Available in source, Not Available in target"
Amazon Chime,Amazon Chime SDK meetings - BatchUpdateAttendeeCapabilitiesExcept API burst rate in requests per second,"Available in source, Not Available in target"
Amazon Chime,Amazon Chime SDK meetings - UnTagResource API rate in requests per second,"Available in source, Not Available in target"
Amazon Chime,Amazon Chime SDK meetings - CreateMeetingWithAttendees API rate in requests per second,"Available in source, Not Available in target"
Amazon Chime,Amazon Chime SDK meetings - BatchCreateAttendees API rate in requests per second,"Available in source, Not Available in target"
Amazon Chime,Amazon Chime SDK meetings - CreateAttendee API burst rate in requests per second,"Available in source, Not Available in target"
Amazon Chime,Amazon Chime SDK meetings - Replica meetings per primary meeting,"Available in source, Not Available in target"
Amazon Chime,Amazon Chime SDK meetings - ListTagsForResource API rate in requests per second,"Available in source, Not Available in target"
Amazon Chime,Amazon Chime SDK meetings - ListMeetings API burst rate in requests per second,"Available in source, Not Available in target"
Amazon Chime,Amazon Chime SDK meetings - All meeting management API rate in requests per second,"Available in source, Not Available in target"
Amazon Chime,Amazon Chime SDK meetings - Concurrent meeting quota,"Available in source, Not Available in target"
Amazon Chime,Amazon Chime SDK meetings - CreateMeeting API burst rate in requests per second,"Available in source, Not Available in target"
Amazon Chime,Amazon  Chime SDK meetings - ListAttendees API rate in requests per second,"Available in source, Not Available in target"
Amazon Chime,Amazon Chime SDK meetings - TagResource API burst rate in requests per second,"Available in source, Not Available in target"
AWS Cloud9,EC2 development environments for this account,"Available in source, Not Available in target"
AWS Cloud9,SSH development environments for this account,"Available in source, Not Available in target"
AWS Cloud9,EC2 development environments for this user,"Available in source, Not Available in target"
AWS Cloud9,SSH development environments for this user,"Available in source, Not Available in target"
AWS CloudFormation,Stack instance operations per administrator account,Available in both
AWS CloudFormation,Stack instances per stack set,Available in both
AWS CloudFormation,Stack sets per administrator account,Available in both
AWS CloudFormation,Queued operations per stack set,Available in both
AWS CloudFormation,Output count in CloudFormation template,Available in both
AWS CloudFormation,Stack count,Available in both
AWS CloudHSM,Clusters per AWS Region and AWS account,Available in both
AWS CloudHSM,HSMs per AWS Region and AWS account,Available in both
AWS CodeBuild,Concurrently running builds for Linux Lambda/2GB environment,"Available in source, Not Available in target"
AWS CodeBuild,Concurrently running builds for Linux/2XLarge environment,"Available in source, Not Available in target"
AWS CodeBuild,Concurrently running builds for ARM/Large environment,Available in both
AWS CodeBuild,Concurrently running builds for Linux Lambda/4GB environment,"Available in source, Not Available in target"
AWS CodeBuild,Build projects,Available in both
AWS CodeBuild,Concurrently running builds for ARM Lambda/4GB environment,"Available in source, Not Available in target"
AWS CodeBuild,Concurrently running builds for ARM Lambda/1GB environment,"Available in source, Not Available in target"
AWS CodeBuild,Concurrently running builds for Linux Lambda/10GB environment,"Available in source, Not Available in target"
AWS CodeBuild,Concurrently running builds for Linux/XLarge environment,Available in both
AWS CodeBuild,Concurrently running builds for ARM/Small environment,Available in both
AWS CodeBuild,Concurrently running builds for Linux Lambda/8GB environment,"Available in source, Not Available in target"
AWS CodeBuild,Concurrently running builds for Linux/Medium environment,Available in both
AWS CodeBuild,Concurrently running builds for ARM Lambda/2GB environment,"Available in source, Not Available in target"
AWS CodeBuild,Concurrently running builds for Linux/Small environment,Available in both
AWS CodeBuild,Concurrently running builds for ARM Lambda/10GB environment,"Available in source, Not Available in target"
AWS CodeBuild,Concurrently running builds for Linux Lambda/1GB environment,"Available in source, Not Available in target"
AWS CodeBuild,Concurrently running builds for ARM Lambda/8GB environment,"Available in source, Not Available in target"
AWS CodeBuild,Concurrently running builds for Linux/Large environment,Available in both
AWS CodeDeploy,Applications associated per account per region,Available in both
AWS CodeDeploy,Minutes a blue/green deployment can wait after a successful deployment before terminating instances from the original deployment,"Available in source, Not Available in target"
AWS CodeDeploy,Size of deployment group name,Available in both
AWS CodeDeploy,Tags in a deployment group,"Available in source, Not Available in target"
AWS CodeDeploy,Concurrent deployments per account,Available in both
AWS CodeDeploy,Minutes until a deployment fails if a lifecycle event doesn't start,"Available in source, Not Available in target"
AWS CodeDeploy,Number of listeners for a traffic route during an Amazon ECS deployment,Available in both
AWS CodeDeploy,Number of instances that can be passed to the BatchGetOnPremisesInstances API action,Available in both
AWS CodeDeploy,Traffic that can be shifted in one increment during an AWS Lambda deployment,"Available in source, Not Available in target"
AWS CodeDeploy,Event notification triggers in a deployment group,"Available in source, Not Available in target"
AWS CodeDeploy,EC2/On-Premises in-place deployment run in hours,Available in both
AWS CodeDeploy,AWS Lambda deployment run in hours,Available in both
AWS CodeDeploy,Deployment groups associated with a single application,Available in both
AWS CodeDeploy,Auto Scaling groups in a deployment group,Available in both
AWS CodeDeploy,Concurrent deployments per deployment group,Available in both
AWS CodeDeploy,Number of deployment groups that can be associated with an Amazon ECS service,"Available in source, Not Available in target"
AWS CodeDeploy,Size of tag key,Available in both
AWS CodeDeploy,Hours between the completion of a deployment and the termination of the original instances during an EC2/On-Premises blue/green deployment,Available in both
AWS CodeDeploy,Instances count per deployment,Available in both
AWS CodeDeploy,Number of instances used by concurrent deployments that are in progress per account,Available in both
AWS CodePipeline,Total stages per pipeline,"Available in source, Not Available in target"
AWS CodePipeline,Total pipelines with change detection set to periodically checking for source changes,Available in both
AWS CodePipeline,Minimum stages per pipeline,Available in both
AWS CodePipeline,Total pipelines,Available in both
AWS CodePipeline,Minimum actions,Available in both
AWS CodePipeline,Total actions per stage,Available in both
AWS CodePipeline,Total webhooks,"Available in source, Not Available in target"
Amazon Cognito Federated Identities,Rate of UntagResource requests,"Available in source, Not Available in target"
Amazon Cognito Federated Identities,Rate of ListTagsForResource requests,"Available in source, Not Available in target"
Amazon Cognito Federated Identities,Rate of ListIdentities requests,"Available in source, Not Available in target"
Amazon Cognito Federated Identities,Rate of GetOpenIdTokenForDeveloperIdentity requests,"Available in source, Not Available in target"
Amazon Cognito Federated Identities,Rate of GetOpenIdToken requests,"Available in source, Not Available in target"
Amazon Cognito Federated Identities,Rate of GetId requests,"Available in source, Not Available in target"
Amazon Cognito Federated Identities,Rate of GetCredentialsForIdentity requests,"Available in source, Not Available in target"
Amazon Cognito Federated Identities,Rate of TagResource requests,"Available in source, Not Available in target"
Amazon Cognito User Pools,Rate of UserAccountRecovery requests,"Available in source, Not Available in target"
Amazon Cognito User Pools,Rate of UserPoolResourceUpdate requests per account,"Available in source, Not Available in target"
Amazon Cognito User Pools,Rate of UserList requests,"Available in source, Not Available in target"
Amazon Cognito User Pools,Rate of UserResourceUpdate requests,"Available in source, Not Available in target"
Amazon Cognito User Pools,Rate of UserUpdate requests,"Available in source, Not Available in target"
Amazon Cognito User Pools,User import jobs per user pool,"Available in source, Not Available in target"
Amazon Cognito User Pools,Rate of UserResourceRead requests,"Available in source, Not Available in target"
Amazon Cognito User Pools,Rate of UserPoolRead requests,"Available in source, Not Available in target"
Amazon Cognito User Pools,Rate of UserPoolUpdate requests,"Available in source, Not Available in target"
Amazon Cognito User Pools,Rate of UserRead requests,"Available in source, Not Available in target"
Amazon Cognito User Pools,Rate of UserFederation requests,"Available in source, Not Available in target"
Amazon Cognito User Pools,Rate of UserCreation requests,"Available in source, Not Available in target"
Amazon Cognito User Pools,Resource servers per user pool,"Available in source, Not Available in target"
Amazon Cognito User Pools,Rate of UserAuthentication requests,"Available in source, Not Available in target"
Amazon Cognito User Pools,Identity providers per user pool,"Available in source, Not Available in target"
Amazon Cognito User Pools,Rate of UserPoolClientUpdate requests per account,"Available in source, Not Available in target"
Amazon Cognito User Pools,Rate of UserPoolResourceRead requests per account,"Available in source, Not Available in target"
Amazon Cognito User Pools,Rate of UserToken requests,"Available in source, Not Available in target"
Amazon Cognito User Pools,Apps per user pool,"Available in source, Not Available in target"
Amazon Cognito User Pools,Rate of UserPoolClientRead requests per account,"Available in source, Not Available in target"
Amazon Comprehend,CreateDocumentClassifier throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Comprehend,Endpoints max active endpoints,"Available in source, Not Available in target"
Amazon Comprehend,DetectPiiEntities max active jobs,"Available in source, Not Available in target"
Amazon Comprehend,DetectEvents max active jobs,"Available in source, Not Available in target"
Amazon Comprehend,StopTrainingDocumentClassifier throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Comprehend,ListTagsForResource throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Comprehend,CreateFlywheel max active flywheels,"Available in source, Not Available in target"
Amazon Comprehend,ListEntityRecognizers throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Comprehend,StartDocumentClassificationJob throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Comprehend,ListDominantLanguageDetectionJobs throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Comprehend,StartFlywheelIteration max concurrent flywheel iterations,"Available in source, Not Available in target"
Amazon Comprehend,EntityRecognizer max active jobs,"Available in source, Not Available in target"
Amazon Comprehend,DescribeEntitiesDetectionJob throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Comprehend,StartSentimentDetectionJob throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Comprehend,StopSentimentDetectionJob throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Comprehend,Datasets max concurrent creates,"Available in source, Not Available in target"
Amazon Comprehend,StopTrainingEntityRecognizer throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Comprehend,MaxTrainDatasets per flywheel,"Available in source, Not Available in target"
Amazon Comprehend,StopEntitiesDetectionJob throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Comprehend,DescribeTopicsDetectionJob throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon Connect,Rate of DescribeQueue API requests,"Available in source, Not Available in target"
Amazon Connect,Amazon Connect instance count,"Available in source, Not Available in target"
Amazon Connect,Rate of UntagContact API requests,"Available in source, Not Available in target"
Amazon Connect,Rate of ListPredefinedAttributes API requests,"Available in source, Not Available in target"
Amazon Connect,Rate of DeleteRule API requests,"Available in source, Not Available in target"
Amazon Connect,Rate of ListTaskTemplates API requests,"Available in source, Not Available in target"
AWS Glue DataBrew,Concurrent jobs per AWS account,"Available in source, Not Available in target"
AWS Glue DataBrew,Projects per AWS account,"Available in source, Not Available in target"
AWS Glue DataBrew,Versions per recipe,"Available in source, Not Available in target"
AWS Glue DataBrew,Datasets per AWS account,"Available in source, Not Available in target"
AWS Glue DataBrew,Open projects per AWS account,"Available in source, Not Available in target"
AWS Glue DataBrew,Rules per ruleset,"Available in source, Not Available in target"
AWS Glue DataBrew,Rulesets per AWS account,"Available in source, Not Available in target"
AWS Glue DataBrew,Jobs per AWS account,"Available in source, Not Available in target"
AWS Glue DataBrew,Schedules per AWS account,"Available in source, Not Available in target"
AWS Glue DataBrew,Rulesets per dataset,"Available in source, Not Available in target"
AWS Glue DataBrew,Recipes per AWS account,"Available in source, Not Available in target"
Amazon Data Lifecycle Manager,Policies per Region,Available in both
Amazon Data Lifecycle Manager,Target accounts per sharing rule,Available in both
AWS Database Migration Service (AWS DMS),Certificate count,"Available in source, Not Available in target"
AWS Database Migration Service (AWS DMS),Serverless replications,Available in both
AWS Database Migration Service (AWS DMS),Task count,"Available in source, Not Available in target"
AWS Database Migration Service (AWS DMS),Replication instances,Available in both
AWS Database Migration Service (AWS DMS),Total storage,Available in both
ElasticDisasterRecovery,Max source servers in a single Job,Available in both
ElasticDisasterRecovery,Max source servers in all Jobs,Available in both
ElasticDisasterRecovery,Max concurrent Jobs per source server,"Available in source, Not Available in target"
ElasticDisasterRecovery,Concurrent jobs in progress,Available in both
ElasticDisasterRecovery,Max number of source networks per AWS account,Available in both
ElasticDisasterRecovery,Max Total replicating source servers Per AWS Account,"Available in source, Not Available in target"
ElasticDisasterRecovery,Max number of launch configuration templates per AWS account,Available in both
Amazon DynamoDB,Write throughput limit for DynamoDB Streams (Provisioned mode),Available in both
Amazon DynamoDB,Maximum number of tables,Available in both
Amazon DynamoDB,Provisioned capacity decreases per day,Available in both
Amazon DynamoDB,Global Secondary Indexes per table,Available in both
Amazon DynamoDB,Concurrent control plane operations,Available in both
Amazon DynamoDB,Account-level read throughput limit (Provisioned mode),Available in both
Amazon DynamoDB,Account-level write throughput limit (Provisioned mode),Available in both
Amazon DynamoDB,Table-level read throughput limit,Available in both
Amazon DynamoDB,Table-level write throughput limit,Available in both
Amazon Elastic Block Store (Amazon EBS),Pending snapshots per account,Available in both
Amazon Elastic Block Store (Amazon EBS),GetSnapshotBlock requests per account,"Available in source, Not Available in target"
Amazon Elastic Block Store (Amazon EBS),CompleteSnapshot requests per account,"Available in source, Not Available in target"
Amazon Elastic Block Store (Amazon EBS),ListSnapshotBlocks requests per account,Available in both
Amazon Elastic Block Store (Amazon EBS),PutSnapshotBlock requests per account,"Available in source, Not Available in target"
Amazon Elastic Block Store (Amazon EBS),StartSnapshot requests per account,Available in both
Amazon Elastic Block Store (Amazon EBS),ListChangedBlocks requests per account,Available in both
Amazon Elastic Block Store (Amazon EBS),"Storage modifications for General Purpose SSD (gp2) volumes, in TiB",Available in both
Amazon Elastic Block Store (Amazon EBS),IOPS for Provisioned IOPS SSD (io2) volumes,"Available in source, Not Available in target"
Amazon Elastic Block Store (Amazon EBS),"Storage modifications for Cold HDD (sc1) volumes, in TiB",Available in both
Amazon Elastic Block Store (Amazon EBS),In-progress snapshot archives per account,"Available in source, Not Available in target"
Amazon Elastic Block Store (Amazon EBS),Fast snapshot restore,"Available in source, Not Available in target"
Amazon Elastic Block Store (Amazon EBS),IOPS modifications for Provisioned IOPS SSD (io2) volumes,"Available in source, Not Available in target"
Amazon Elastic Block Store (Amazon EBS),"Storage for Throughput Optimized HDD (st1) volumes, in TiB","Available in source, Not Available in target"
Amazon Elastic Block Store (Amazon EBS),"Storage for Cold HDD (sc1) volumes, in TiB",Available in both
Amazon Elastic Block Store (Amazon EBS),"Storage modifications for Provisioned IOPS SSD (io2) volumes, in TiB","Available in source, Not Available in target"
Amazon Elastic Compute Cloud (Amazon EC2),Running Dedicated m5 Hosts,"Available in source, Not Available in target"
Amazon Elastic Compute Cloud (Amazon EC2),Running Dedicated c7g Hosts,Available in both
Amazon Elastic Compute Cloud (Amazon EC2),Running Dedicated c6g Hosts,Available in both
Amazon Elastic Compute Cloud (Amazon EC2),Running Dedicated c5 Hosts,"Available in source, Not Available in target"
Amazon Elastic Compute Cloud (Amazon EC2),Running Dedicated m7i Hosts,"Available in source, Not Available in target"
Amazon Elastic Compute Cloud (Amazon EC2),Running Dedicated r5 Hosts,"Available in source, Not Available in target"
Amazon Elastic Compute Cloud (Amazon EC2),All DL Spot Instance Requests,Available in both
Amazon Elastic Compute Cloud (Amazon EC2),Running Dedicated c6i Hosts,"Available in source, Not Available in target"
Amazon Elastic Compute Cloud (Amazon EC2),Running Dedicated p2 Hosts,"Available in source, Not Available in target"
Amazon Elastic Compute Cloud (Amazon EC2),Running Dedicated i2 Hosts,"Available in source, Not Available in target"
Amazon Elastic Compute Cloud (Amazon EC2),Running Dedicated c4 Hosts,"Available in source, Not Available in target"
Amazon Elastic Compute Cloud (Amazon EC2),All X Spot Instance Requests,Available in both
Amazon Elastic Compute Cloud (Amazon EC2),Running Dedicated c5a Hosts,"Available in source, Not Available in target"
Amazon Elastic Compute Cloud (Amazon EC2),Running Dedicated g4dn Hosts,"Available in source, Not Available in target"
Amazon Elastic Compute Cloud (Amazon EC2),Running Dedicated r5n Hosts,"Available in source, Not Available in target"
Amazon Elastic Compute Cloud (Amazon EC2),Running Dedicated t3 Hosts,"Available in source, Not Available in target"
Amazon Elastic Compute Cloud (Amazon EC2),Routes per transit gateway,"Available in source, Not Available in target"
Amazon Elastic Compute Cloud (Amazon EC2),New Reserved Instances per month,"Available in source, Not Available in target"
Amazon Elastic Compute Cloud (Amazon EC2),Verified Access Groups,"Available in source, Not Available in target"
Amazon Elastic Compute Cloud (Amazon EC2),Public AMIs,"Available in source, Not Available in target"
IPAM,IPAMs per Region,Available in both
IPAM,IPAM pool depth,Available in both
IPAM,CIDRs per IPAM pool,Available in both
IPAM,Resource discovery associations per IPAM,Available in both
IPAM,Pools per IPAM scope,Available in both
IPAM,Scopes per IPAM,Available in both
EC2 Fast Launch,Parallel instance launches,Available in both
Amazon Elastic Container Registry (Amazon ECR),Pull through cache rules per registry,Available in both
Amazon Elastic Container Registry (Amazon ECR),Rate of GetAuthorizationToken requests,Available in both
Amazon Elastic Container Registry (Amazon ECR),Rate of GetDownloadUrlForLayer requests,Available in both
Amazon Elastic Container Registry (Amazon ECR),Rate of CompleteLayerUpload requests,Available in both
Amazon Elastic Container Registry (Amazon ECR),Rate of UploadLayerPart requests,Available in both
Amazon Elastic Container Registry (Amazon ECR),Rate of BatchCheckLayerAvailability requests,Available in both
Amazon Elastic Container Registry (Amazon ECR),Rate of InitiateLayerUpload requests,Available in both
Amazon Elastic Container Registry (Amazon ECR),Rate of PutImage requests,Available in both
Amazon Elastic Container Registry (Amazon ECR),Rate of BatchGetImage requests,Available in both
Amazon Elastic Kubernetes Service (Amazon EKS),EKS Anywhere Enterprise Subscriptions,Available in both
Amazon Elastic Kubernetes Service (Amazon EKS),Public endpoint access CIDR ranges per cluster,Available in both
Amazon Elastic Kubernetes Service (Amazon EKS),Selectors per Fargate profile,Available in both
Amazon Elastic Kubernetes Service (Amazon EKS),Managed node groups per cluster,Available in both
Amazon Elastic Kubernetes Service (Amazon EKS),Registered clusters,Available in both
Amazon Elastic Kubernetes Service (Amazon EKS),Clusters,Available in both
Amazon Elastic Kubernetes Service (Amazon EKS),Label pairs per Fargate profile selector,Available in both
Amazon Elastic Kubernetes Service (Amazon EKS),Fargate profiles per cluster,Available in both
Amazon Elastic Kubernetes Service (Amazon EKS),Nodes per managed node group,Available in both
Amazon Elastic Kubernetes Service (Amazon EKS),Control plane security groups per cluster,Available in both
Amazon Elastic File System (EFS),Provisioned throughput,Available in both
Amazon Elastic File System (EFS),File size,"Available in source, Not Available in target"
Amazon Elastic File System (EFS),Minimum wait time between Throughput mode changes,Available in both
Amazon Elastic File System (EFS),Open files per NFS client,Available in both
Amazon Elastic File System (EFS),Locks across unique file/process pairs,Available in both
Amazon Elastic File System (EFS),File system name length,Available in both
Amazon Elastic File System (EFS),Security groups per mount target,"Available in source, Not Available in target"
Amazon Elastic File System (EFS),Mount targets per Availability Zone,Available in both
Amazon Elastic File System (EFS),Directory depth,Available in both
